t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2008-04-07,log_density,1150,5747,6.531007882275809,6.418120529471741,-3.2906934750416923,0.9960488269402289,0.9574336151603662,0.12239393982467223,0.3174947746709256
2008-04-07,unweighted,5747,0,,,,,,,
2008-04-07,1_over_t,5747,0,,,,,,,
2008-04-14,log_density,1150,5747,6.511187103655047,6.39998505733075,-3.2640427766868285,0.9960960976188954,0.9575491130233732,0.12122417402034509,0.3170637435107097
2008-04-14,unweighted,5747,0,,,,,,,
2008-04-14,1_over_t,5747,0,,,,,,,
2008-04-21,log_density,1150,5747,6.49162228385844,6.3818170421499385,-3.2379133914085543,0.9961443550798597,0.9576644083445957,0.11990603183048655,0.31663288300638004
2008-04-21,unweighted,5747,0,,,,,,,
2008-04-21,1_over_t,5747,0,,,,,,,
2008-04-28,log_density,1150,5747,6.471857572774756,6.363616016939729,-3.211682420406703,0.9961995059868508,0.9577794856354432,0.11858981904187114,0.3162022518549313
2008-04-28,unweighted,5747,0,,,,,,,
2008-04-28,1_over_t,5747,0,,,,,,,
2008-05-05,log_density,1150,5747,6.453341896024977,6.345381504351751,-3.186430693505425,0.9962585209585754,0.957894328858942,0.11710379953543625,0.3157719111294293
2008-05-05,unweighted,5747,0,,,,,,,
2008-05-05,1_over_t,5747,0,,,,,,,
2008-05-12,log_density,1150,5747,6.432567109326559,6.327113016360789,-3.159234659817356,0.9962963919282014,0.9580089214083128,0.11595492151417795,0.31534192437516073
2008-05-12,unweighted,5747,0,,,,,,,
2008-05-12,1_over_t,5747,0,,,,,,,
2008-05-19,log_density,1150,5747,6.412466217639192,6.308810053934908,-3.1338536239375188,0.9963696616293685,0.9581232460845669,0.11429192593252278,0.3149123577101147
2008-05-19,unweighted,5747,0,,,,,,,
2008-05-19,1_over_t,5747,0,,,,,,,
2008-05-26,log_density,1150,5747,6.393336862048752,6.290472106691578,-3.1091281631800136,0.9964499089034785,0.9582372850730627,0.11254728177442279,0.3144832799300208
2008-05-26,unweighted,5747,0,,,,,,,
2008-05-26,1_over_t,5747,0,,,,,,,
2008-06-02,log_density,1150,5747,6.373061084593225,6.272098652540609,-3.0831709980818385,0.9965285570812895,0.9583510199189682,0.11104826842309092,0.3140547626181753
2008-06-02,unweighted,5747,0,,,,,,,
2008-06-02,1_over_t,5747,0,,,,,,,
2008-06-09,log_density,1150,5747,6.352438653912742,6.253689157312423,-3.0574813744101164,0.996602351269437,0.9584644315015697,0.10940238892233355,0.31362688026030666
